loss,mape,val_loss,val_mape
0.003159396583214402,401673.375,0.0009941082680597901,150092.875
0.0011303159408271313,174516.71875,0.0009573480929248035,157108.421875
0.0010466703679412603,145556.734375,0.0009728730074129999,140181.265625
0.0010065390961244702,127743.0703125,0.0009405136806890368,230204.234375
0.0009826370514929295,114616.7265625,0.0008983941515907645,107078.7421875
0.0009640653152018785,107067.171875,0.0008837984642013907,76186.2578125
0.0009481995948590338,100440.734375,0.001058060908690095,99021.859375
0.000937947363127023,97535.625,0.0008771744323894382,120822.3515625
0.0009301621466875076,95732.515625,0.0009188082767650485,162193.59375
0.0009229170391336083,91865.5390625,0.0008854508632794023,92368.9765625
