loss,mape,val_loss,val_mape
18176.193359375,6987489.5,18175.228515625,9774361.0
18175.982421875,7071454.0,18175.228515625,9291223.0
18175.99609375,7154518.0,18175.228515625,9033774.0
18175.990234375,7270299.0,18175.23046875,9093187.0
18176.033203125,7279494.5,18175.228515625,9478662.0
18175.978515625,7209711.5,18175.228515625,9781116.0
18175.98046875,7237694.0,18175.228515625,9828538.0
18175.9765625,7236980.5,18175.228515625,8789201.0
18175.978515625,7189098.0,18175.228515625,9771224.0
18175.99609375,7267081.0,18175.228515625,9130848.0
18175.98828125,7136776.5,18175.23046875,8629207.0
18175.998046875,7116594.5,18175.228515625,9319635.0
18176.0,7253430.0,18175.23046875,9250998.0
18176.0,7264609.5,18175.228515625,8950536.0
18175.98046875,7137641.5,18175.228515625,10037428.0
18175.974609375,7301985.0,18175.228515625,9790581.0
18176.0078125,7216177.5,18175.23046875,8890178.0
18175.994140625,7194326.5,18175.228515625,9083783.0
18175.978515625,7246380.0,18175.228515625,8617606.0
18176.0,6942477.0,18175.23046875,9881971.0
