loss,mape,val_loss,val_mape
0.004584135487675667,438986.15625,0.0015554348938167095,217216.28125
0.001415197504684329,195859.859375,0.001380242989398539,166339.953125
0.0012964383931830525,161116.703125,0.001324183540418744,72839.9140625
0.0012519352603703737,143938.46875,0.0012910481309518218,89347.9453125
0.001227805856615305,134187.34375,0.0012805887963622808,108425.9453125
0.0012018042616546154,125079.984375,0.0013217752566561103,91279.453125
0.0011866752756759524,122201.421875,0.001279714168049395,107000.1640625
0.0011740254703909159,117542.6796875,0.0012966099893674254,116758.0703125
0.0011617093114182353,112364.15625,0.0012792141642421484,77456.875
0.0011555070523172617,110441.3828125,0.0012767547741532326,122155.875
0.001149153569713235,108074.5625,0.00127461610827595,96215.5
0.0011414049658924341,107095.640625,0.0013266030000522733,57091.515625
0.0011365183163434267,103195.1171875,0.0013100630603730679,43395.25
0.0011322369100525975,102892.359375,0.0012717985082417727,63105.3203125
0.0011314344592392445,101520.265625,0.0012493409449234605,101066.6171875
0.00112385384272784,99382.84375,0.0012548236409202218,65335.70703125
0.0011218790896236897,96740.25,0.0012255876790732145,69739.8203125
0.001115869265049696,97426.8359375,0.0012478448916226625,80889.703125
0.0011150348000228405,95430.640625,0.001228663488291204,63240.76171875
0.0011113729560747743,94865.8125,0.0012457320699468255,76140.984375
